frame_id,character,source_bbox_xyxy,visible_pixel_bbox_xyxy,detected_row,horizontal_order,tentative_pose_label,tentative_sequence,confidence,notes,candidate_file,component_count,detached_component_count
L-R01-C01,loko,"[9, 11, 56, 61]","[11, 13, 54, 59]",1,1,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L001_row01_slot01.png,1,0
L-R01-C02,loko,"[73, 11, 119, 61]","[75, 13, 117, 59]",1,2,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L002_row01_slot02.png,1,0
L-R01-C03,loko,"[137, 10, 183, 61]","[139, 12, 181, 59]",1,3,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L003_row01_slot03.png,1,0
L-R01-C04,loko,"[199, 10, 248, 61]","[201, 12, 246, 59]",1,4,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L004_row01_slot04.png,1,0
L-R01-C05,loko,"[262, 10, 312, 61]","[264, 12, 310, 59]",1,5,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L005_row01_slot05.png,1,0
L-R01-C06,loko,"[329, 10, 376, 61]","[331, 12, 374, 59]",1,6,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L006_row01_slot06.png,1,0
L-R01-C07,loko,"[394, 10, 440, 61]","[396, 12, 438, 59]",1,7,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L007_row01_slot07.png,1,0
L-R01-C08,loko,"[457, 11, 504, 61]","[459, 13, 502, 59]",1,8,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L008_row01_slot08.png,1,0
L-R01-C09,loko,"[520, 11, 567, 61]","[522, 13, 565, 59]",1,9,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L009_row01_slot09.png,1,0
L-R01-C10,loko,"[582, 10, 630, 61]","[584, 12, 628, 59]",1,10,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L010_row01_slot10.png,1,0
L-R01-C11,loko,"[646, 10, 692, 61]","[648, 12, 690, 59]",1,11,idle/front and turn poses,idle_turn,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L011_row01_slot11.png,1,0
L-R02-C01,loko,"[8, 75, 55, 125]","[10, 77, 53, 123]",2,1,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L012_row02_slot01.png,1,0
L-R02-C02,loko,"[72, 75, 119, 126]","[74, 77, 117, 124]",2,2,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L013_row02_slot02.png,1,0
L-R02-C03,loko,"[135, 74, 185, 124]","[137, 76, 183, 122]",2,3,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L014_row02_slot03.png,1,0
L-R02-C04,loko,"[201, 74, 252, 124]","[203, 76, 250, 122]",2,4,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L015_row02_slot04.png,1,0
L-R02-C05,loko,"[272, 74, 325, 124]","[274, 76, 323, 122]",2,5,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L016_row02_slot05.png,1,0
L-R02-C06,loko,"[344, 74, 396, 124]","[346, 76, 394, 122]",2,6,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L017_row02_slot06.png,1,0
L-R02-C07,loko,"[413, 74, 465, 124]","[415, 76, 463, 122]",2,7,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L018_row02_slot07.png,1,0
L-R02-C08,loko,"[484, 74, 530, 124]","[486, 76, 528, 122]",2,8,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L019_row02_slot08.png,1,0
L-R02-C09,loko,"[547, 74, 594, 124]","[549, 76, 592, 122]",2,9,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L020_row02_slot09.png,1,0
L-R02-C10,loko,"[612, 74, 664, 123]","[614, 76, 662, 121]",2,10,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L021_row02_slot10.png,1,0
L-R02-C11,loko,"[677, 75, 727, 123]","[679, 77, 725, 121]",2,11,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L022_row02_slot11.png,1,0
L-R02-C12,loko,"[742, 76, 792, 123]","[744, 78, 790, 121]",2,12,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L023_row02_slot12.png,1,0
L-R02-C13,loko,"[806, 75, 855, 125]","[808, 77, 853, 123]",2,13,side-facing movement poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L024_row02_slot13.png,1,0
L-R03-C01,loko,"[7, 137, 56, 185]","[9, 139, 54, 183]",3,1,sit/lie transition poses,sitting_sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L025_row03_slot01.png,1,0
L-R03-C02,loko,"[68, 135, 118, 186]","[70, 137, 116, 184]",3,2,sit/lie transition poses,sitting_sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/loko/detection_candidates/L026_row03_slot02.png,1,0
