frame_id,character,source_bbox_xyxy,visible_pixel_bbox_xyxy,detected_row,horizontal_order,tentative_pose_label,tentative_sequence,confidence,notes,candidate_file,component_count,detached_component_count
P-R01-C01,poko,"[13, 8, 61, 61]","[15, 10, 59, 59]",1,1,idle/front expressions,idle,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P001_row01_slot01.png,1,0
P-R01-C02,poko,"[75, 8, 122, 61]","[77, 10, 120, 59]",1,2,idle/front expressions,idle,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P002_row01_slot02.png,1,0
P-R01-C03,poko,"[133, 8, 181, 61]","[135, 10, 179, 59]",1,3,idle/front expressions,idle,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P003_row01_slot03.png,1,0
P-R01-C04,poko,"[191, 8, 238, 61]","[193, 10, 236, 59]",1,4,idle/front expressions,idle,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P004_row01_slot04.png,1,0
P-R01-C05,poko,"[241, 7, 288, 61]","[243, 9, 286, 59]",1,5,idle/front expressions,idle,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P005_row01_slot05.png,1,0
P-R01-C06,poko,"[295, 8, 343, 61]","[297, 10, 341, 59]",1,6,idle/front expressions,idle,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P006_row01_slot06.png,1,0
P-R01-C07,poko,"[352, 8, 399, 61]","[354, 10, 397, 59]",1,7,idle/front expressions,idle,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P007_row01_slot07.png,1,0
P-R02-C01,poko,"[10, 72, 55, 126]","[12, 74, 53, 124]",2,1,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P008_row02_slot01.png,1,0
P-R02-C02,poko,"[66, 72, 111, 126]","[68, 74, 109, 124]",2,2,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P009_row02_slot02.png,1,0
P-R02-C03,poko,"[124, 72, 173, 126]","[126, 74, 171, 124]",2,3,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P010_row02_slot03.png,1,0
P-R02-C04,poko,"[189, 71, 235, 127]","[191, 73, 233, 125]",2,4,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P011_row02_slot04.png,1,0
P-R02-C05,poko,"[253, 72, 301, 126]","[255, 74, 299, 124]",2,5,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P012_row02_slot05.png,1,0
P-R02-C06,poko,"[326, 72, 373, 126]","[328, 74, 371, 124]",2,6,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P013_row02_slot06.png,1,0
P-R02-C07,poko,"[387, 72, 436, 126]","[389, 74, 434, 124]",2,7,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P014_row02_slot07.png,1,0
P-R02-C08,poko,"[452, 71, 499, 127]","[454, 73, 497, 125]",2,8,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P015_row02_slot08.png,1,0
P-R02-C09,poko,"[512, 71, 558, 126]","[514, 73, 556, 124]",2,9,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P016_row02_slot09.png,1,0
P-R02-C10,poko,"[574, 72, 626, 126]","[576, 74, 624, 124]",2,10,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P017_row02_slot10.png,1,0
P-R02-C11,poko,"[645, 71, 695, 128]","[647, 73, 693, 126]",2,11,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P018_row02_slot11.png,1,0
P-R02-C12,poko,"[712, 72, 758, 127]","[714, 74, 756, 125]",2,12,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P019_row02_slot12.png,1,0
P-R02-C13,poko,"[778, 71, 827, 128]","[780, 73, 825, 126]",2,13,side-facing movement/turn poses,locomotion,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P020_row02_slot13.png,1,0
P-R03-C01,poko,"[12, 140, 58, 191]","[14, 142, 56, 189]",3,1,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P021_row03_slot01.png,1,0
P-R03-C02,poko,"[71, 140, 117, 191]","[73, 142, 115, 189]",3,2,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P022_row03_slot02.png,1,0
P-R03-C03,poko,"[130, 140, 175, 191]","[132, 142, 173, 189]",3,3,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P023_row03_slot03.png,1,0
P-R03-C04,poko,"[187, 141, 233, 191]","[189, 143, 231, 189]",3,4,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P024_row03_slot04.png,1,0
P-R03-C05,poko,"[246, 140, 291, 191]","[248, 142, 289, 189]",3,5,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P025_row03_slot05.png,1,0
P-R03-C06,poko,"[312, 143, 365, 187]","[314, 145, 363, 185]",3,6,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P026_row03_slot06.png,1,0
P-R03-C07,poko,"[381, 141, 434, 187]","[383, 143, 432, 185]",3,7,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P027_row03_slot07.png,1,0
