frame_id,character,contact_sheet_index,category,pose_label,tentative_sequence,temporal_continuity,confidence,is_sequence_claim,source_bbox_xyxy,visible_pixel_bbox_xyxy,detected_row,horizontal_order,notes
P-R01-C01,poko,1,IDLE,front_idle,idle_front,isolated_variants,high,False,"[13, 8, 61, 61]","[15, 10, 59, 59]",1,1,Neutral front-facing idle variants.
P-R01-C02,poko,2,IDLE,front_idle,idle_front,isolated_variants,high,False,"[75, 8, 122, 61]","[77, 10, 120, 59]",1,2,Neutral front-facing idle variants.
P-R01-C03,poko,3,IDLE,front_idle,idle_front,isolated_variants,high,False,"[133, 8, 181, 61]","[135, 10, 179, 59]",1,3,Neutral front-facing idle variants.
P-R01-C04,poko,4,IDLE,blink_eyes_closed,idle_blink,plausible_sequence,high,True,"[191, 8, 238, 61]","[193, 10, 236, 59]",1,4,Closed-eye frames plausibly form blink/rest variants.
P-R01-C05,poko,5,IDLE,blink_eyes_closed,idle_blink,plausible_sequence,high,True,"[241, 7, 288, 61]","[243, 9, 286, 59]",1,5,Closed-eye frames plausibly form blink/rest variants.
P-R01-C06,poko,6,IDLE,front_idle_look,idle_look,plausible_sequence,medium,True,"[295, 8, 343, 61]","[297, 10, 341, 59]",1,6,Subtle head/eye direction changes.
P-R01-C07,poko,7,IDLE,front_idle_look,idle_look,plausible_sequence,medium,True,"[352, 8, 399, 61]","[354, 10, 397, 59]",1,7,Subtle head/eye direction changes.
P-R02-C01,poko,8,IDLE,front_idle_look,idle_look,plausible_sequence,medium,True,"[10, 72, 55, 126]","[12, 74, 53, 124]",2,1,Subtle head/eye direction changes.
P-R02-C02,poko,9,LOCOMOTION,side_walk_or_shuffle,locomotion_side,plausible_sequence,medium,True,"[66, 72, 111, 126]","[68, 74, 109, 124]",2,2,Side-facing gait-like progression; exact cycle order requires motion QA.
P-R02-C03,poko,10,LOCOMOTION,side_walk_or_shuffle,locomotion_side,plausible_sequence,medium,True,"[124, 72, 173, 126]","[126, 74, 171, 124]",2,3,Side-facing gait-like progression; exact cycle order requires motion QA.
