character,sequence,category,frame_id,file,origin,body_center,ground,contact,interaction,prop,placement_offset,anchor_shift_due_to_canvas_extents,body_alignment_exact,would_have_clipped_before_safety_shift
loko,drink_02,activities,L-R10-C01,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 40, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,drink_02,activities,L-R10-C02,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 40, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,drink_02,activities,L-R10-C03,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 90.0}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,drink_02,activities,L-R10-C04,frame_003.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 40, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,drink_02,activities,L-R10-C05,frame_004.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 89.5}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,drink_02,activities,L-R10-C06,frame_005.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 89.0}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 63}","{""x"": 0, ""y"": 0}",True,False
loko,drink_02,activities,L-R10-C07,frame_006.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 89.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 63}","{""x"": 0, ""y"": 0}",True,False
loko,eat,activities,L-R09-C04,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 38, ""y"": 63}","{""x"": 0, ""y"": 0}",True,False
loko,eat,activities,L-R09-C05,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 38, ""y"": 62}","{""x"": 0, ""y"": 0}",True,False
loko,eat,activities,L-R09-C06,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 88.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 38, ""y"": 62}","{""x"": 0, ""y"": 0}",True,False
loko,eat,activities,L-R09-C07,frame_003.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 88.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 38, ""y"": 62}","{""x"": 0, ""y"": 0}",True,False
loko,eat,activities,L-R09-C08,frame_004.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 39, ""y"": 63}","{""x"": 0, ""y"": 0}",True,False
loko,eat,activities,L-R09-C09,frame_005.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 90.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,eat,activities,L-R09-C10,frame_006.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 90.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,eat,activities,L-R09-C11,frame_007.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 41, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,eat,activities,L-R09-C12,frame_008.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 89.5}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,idle_front,idle,L-R01-C01,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 90.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,idle_front,idle,L-R01-C02,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 41, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,idle_front,idle,L-R01-C03,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 41, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,idle_front,idle,L-R01-C04,frame_003.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 89.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,idle_front,idle,L-R01-C05,frame_004.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 39, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,idle_front,idle,L-R01-C06,frame_005.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 89.5}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,idle_front,idle,L-R01-C07,frame_006.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 41, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,idle_front,idle,L-R01-C08,frame_007.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 90.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C02,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 90.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 36, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C03,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 36, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C04,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 36, ""y"": 66}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C05,frame_003.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 90.0}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 36, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C06,frame_004.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 90.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 36, ""y"": 66}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C07,frame_005.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 90.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 42, ""y"": 66}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C08,frame_006.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 37, ""y"": 66}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C09,frame_007.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 37, ""y"": 66}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C10,frame_008.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 91.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 36, ""y"": 67}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C11,frame_009.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 91.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 36, ""y"": 67}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C12,frame_010.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 90.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 38, ""y"": 66}","{""x"": 0, ""y"": 0}",True,False
loko,laptop,activities,L-R12-C13,frame_011.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 91.0}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 38, ""y"": 67}","{""x"": 0, ""y"": 0}",True,False
loko,locomotion_side_01,locomotion,L-R01-C09,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 90.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,locomotion_side_01,locomotion,L-R01-C10,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 40, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
