frame_id,character,category,pose_label,tentative_sequence,body_bbox_xyxy,body_width,body_height,body_area,height_ratio_to_canonical,width_ratio_to_canonical,uniform_scale_factor_applied,resampled,scale_review,scale_note,candidate_file
P-R01-C01,poko,IDLE,front_idle,idle_front,"[2, 2, 46, 51]",44,49,1713,1.0426,1.0732,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P001_row01_slot01.png
P-R01-C02,poko,IDLE,front_idle,idle_front,"[2, 2, 45, 51]",43,49,1694,1.0426,1.0488,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P002_row01_slot02.png
P-R01-C03,poko,IDLE,front_idle,idle_front,"[2, 2, 46, 51]",44,49,1699,1.0426,1.0732,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P003_row01_slot03.png
P-R01-C04,poko,IDLE,blink_eyes_closed,idle_blink,"[2, 2, 45, 51]",43,49,1651,1.0426,1.0488,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P004_row01_slot04.png
P-R01-C05,poko,IDLE,blink_eyes_closed,idle_blink,"[2, 2, 45, 52]",43,50,1650,1.0638,1.0488,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P005_row01_slot05.png
P-R01-C06,poko,IDLE,front_idle_look,idle_look,"[2, 2, 46, 51]",44,49,1696,1.0426,1.0732,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P006_row01_slot06.png
P-R01-C07,poko,IDLE,front_idle_look,idle_look,"[2, 2, 45, 51]",43,49,1621,1.0426,1.0488,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P007_row01_slot07.png
P-R02-C01,poko,IDLE,front_idle_look,idle_look,"[2, 2, 43, 52]",41,50,1603,1.0638,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P008_row02_slot01.png
P-R02-C02,poko,LOCOMOTION,side_walk_or_shuffle,locomotion_side,"[2, 2, 43, 52]",41,50,1603,1.0638,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P009_row02_slot02.png
P-R02-C03,poko,LOCOMOTION,side_walk_or_shuffle,locomotion_side,"[2, 2, 47, 52]",45,50,1674,1.0638,1.0976,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P010_row02_slot03.png
P-R02-C04,poko,LOCOMOTION,side_walk_or_shuffle,locomotion_side,"[2, 2, 44, 54]",42,52,1598,1.1064,1.0244,1.0,False,intentional_pose_variation_or_manual_review,"Outside the conservative upright-height review band, but preserved at source scale. The visual pose shows likely intentional squash, extension, expression, or orientation change.",characters/poko/detection_candidates/P011_row02_slot04.png
P-R02-C05,poko,LOCOMOTION,side_walk_or_shuffle,locomotion_side,"[2, 2, 46, 52]",44,50,1671,1.0638,1.0732,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P012_row02_slot05.png
P-R02-C06,poko,LOCOMOTION,side_walk_or_shuffle,locomotion_side,"[2, 2, 45, 52]",43,50,1604,1.0638,1.0488,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P013_row02_slot06.png
P-R02-C07,poko,LOCOMOTION,side_walk_or_shuffle,locomotion_side,"[2, 2, 47, 52]",45,50,1624,1.0638,1.0976,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P014_row02_slot07.png
P-R02-C08,poko,LOCOMOTION,side_walk_or_shuffle,locomotion_side,"[2, 2, 45, 54]",43,52,1652,1.1064,1.0488,1.0,False,intentional_pose_variation_or_manual_review,"Outside the conservative upright-height review band, but preserved at source scale. The visual pose shows likely intentional squash, extension, expression, or orientation change.",characters/poko/detection_candidates/P015_row02_slot08.png
P-R02-C09,poko,LOCOMOTION,side_walk_or_shuffle,locomotion_side,"[2, 2, 44, 53]",42,51,1603,1.0851,1.0244,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P016_row02_slot09.png
P-R02-C10,poko,LOCOMOTION,side_walk_or_shuffle,locomotion_side,"[2, 2, 50, 52]",48,50,1713,1.0638,1.1707,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P017_row02_slot10.png
P-R02-C11,poko,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,"[2, 2, 48, 55]",46,53,1713,1.1277,1.122,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P018_row02_slot11.png
P-R02-C12,poko,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,"[2, 2, 44, 53]",42,51,1618,1.0851,1.0244,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P019_row02_slot12.png
P-R02-C13,poko,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,"[2, 2, 47, 55]",45,53,1694,1.1277,1.0976,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P020_row02_slot13.png
P-R03-C01,poko,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,"[2, 2, 44, 49]",42,47,1491,1.0,1.0244,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P021_row03_slot01.png
P-R03-C02,poko,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,"[2, 2, 44, 49]",42,47,1466,1.0,1.0244,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P022_row03_slot02.png
P-R03-C03,poko,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,"[2, 2, 43, 49]",41,47,1454,1.0,1.0,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P023_row03_slot03.png
P-R03-C04,poko,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,"[2, 2, 44, 48]",42,46,1488,0.9787,1.0244,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P024_row03_slot04.png
P-R03-C05,poko,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,"[2, 2, 43, 49]",41,47,1511,1.0,1.0,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P025_row03_slot05.png
P-R03-C06,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 51, 42]",49,40,1467,0.8511,1.1951,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P026_row03_slot06.png
P-R03-C07,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 51, 44]",49,42,1437,0.8936,1.1951,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P027_row03_slot07.png
P-R03-C08,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 54, 40]",52,38,1467,0.8085,1.2683,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P028_row03_slot08.png
P-R03-C09,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 48, 48]",46,46,1492,0.9787,1.122,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P029_row03_slot09.png
P-R03-C10,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 52, 35]",50,33,1291,0.7021,1.2195,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P030_row03_slot10.png
P-R03-C11,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 57, 33]",55,31,1295,0.6596,1.3415,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P031_row03_slot11.png
P-R03-C12,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 43, 49]",41,47,1433,1.0,1.0,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P032_row03_slot12.png
